rps,op,average,minimum,p50,p75,p95,standard_deviation
10,d,785.0719,567.086,781.9075,917.9599999999999,959.78355,141.4875539791005
19,d,507.76502094240817,83.653,487.531,709.396,964.965,255.69011634293312
30,d,501.05736824324293,202.961,511.496,625.24725,703.54675,136.3227699707991
42,d,660.0408009592327,391.18199999999996,657.5649999999999,772.8080000000001,866.8366,135.03965068512213
56,d,758.7547256317679,453.978,760.1905,882.317,1006.8132999999999,152.82514937123557
58,d,572.4164743150677,256.924,591.3399999999999,687.3325,782.03055,134.69988077622045
72,d,656.3278647140858,390.42900000000003,647.221,769.636,847.1908,123.28497697528239
79,d,555.7604296577949,269.663,553.9399999999999,666.556,757.5828,130.653392220971
90,d,435.0646375690607,146.732,441.107,523.319,648.1247999999999,127.37034727059937
101,d,531.5692947813826,218.441,543.45,644.4929999999999,725.9808,133.3836675000212
\copy (SELECT 
    rps,op,
  AVG(Extract(epoch FROM (created_cdc-created))*1000) AS average, 
  MIN(Extract(epoch FROM (created_cdc-created))*1000) AS minimum, 
  PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY Extract(epoch FROM (created_cdc-created))*1000 asc) AS p50, 
  PERCENTILE_CONT(0.75) WITHIN GROUP (ORDER BY Extract(epoch FROM (created_cdc-created))*1000 asc) AS p75, 
  PERCENTILE_CONT(0.95) WITHIN GROUP (ORDER BY Extract(epoch FROM (created_cdc-created))*1000 asc) AS p95, 
  STDDEV(Extract(epoch FROM (created_Cdc-created))*1000) AS standard_deviation 
  
FROM new_t2
Group by rps,op) To '/Users/rahmatwibowo/ta1/cdc/insert.csv' With CSV DELIMITER ',' HEADER;
